FPS,Frame(ms),Min(ms),Max(ms),Avg(ms),CPU(ms),GPUWait(ms),ShadowPass(ms),WallsDC,PointsDC,ModelDC,ShadowDC,WallsTris,PointsTris,ModelTris,PointLights,SpotLights,VRAM(MB),Upload(KB)
332.49,2.69768,2.17196,5.26001,3.00761,0.369966,2.32772,0.067429,5,100,1,106,10,1200,67907,100,1,0,0
334.64,2.59914,2.17196,5.26001,2.98829,0.424167,2.17497,0.111876,5,100,1,106,10,1200,67907,100,1,0,0
337.157,2.2011,2.17196,5.26001,2.96597,0.361537,1.83956,0.09052,5,100,1,106,10,1200,67907,100,1,0,0
340.142,2.44382,2.17196,5.26001,2.93995,0.38801,2.05581,0.072566,5,100,1,106,10,1200,67907,100,1,0,0
341.935,2.77982,2.17196,5.26001,2.92453,0.370123,2.4097,0.103272,5,100,1,106,10,1200,67907,100,1,0,0
343.831,2.19122,2.17196,5.26001,2.90841,0.337743,1.85348,0.071465,5,100,1,106,10,1200,67907,100,1,0,0
344.857,2.57606,2.17196,5.26001,2.89975,0.335992,2.24007,0.071666,5,100,1,106,10,1200,67907,100,1,0,0
346.2,2.82233,2.17196,5.26001,2.8885,0.774641,2.04769,0.169708,5,100,1,106,10,1200,67907,100,1,0,0
348.483,2.39246,2.17196,5.26001,2.86958,0.707908,1.68455,0.136616,5,100,1,106,10,1200,67907,100,1,0,0
349.475,2.47865,2.17196,5.26001,2.86144,0.715365,1.76328,0.129276,5,100,1,106,10,1200,67907,100,1,0,0
350.921,2.17311,2.17196,5.26001,2.84965,0.377377,1.79573,0.132655,5,100,1,106,10,1200,67907,100,1,0,0
351.797,2.57029,2.17196,5.26001,2.84254,0.419246,2.15104,0.078778,5,100,1,106,10,1200,67907,100,1,0,0
353.427,2.7942,2.17196,5.26001,2.82944,0.370434,2.42376,0.090692,5,100,1,106,10,1200,67907,100,1,0,0
354.718,2.53918,2.17196,5.26001,2.81914,0.834561,1.70462,0.182443,5,100,1,106,10,1200,67907,100,1,0,0
356.168,2.50846,2.17196,5.26001,2.80766,0.746091,1.76237,0.141524,5,100,1,106,10,1200,67907,100,1,0,0
357.829,2.1802,2.17196,5.26001,2.79463,0.731538,1.44867,0.141202,5,100,1,106,10,1200,67907,100,1,0,0
359.467,2.18811,2.17196,5.26001,2.7819,0.357121,1.83099,0.106653,5,100,1,106,10,1200,67907,100,1,0,0
360.475,2.50158,2.17196,5.26001,2.77412,0.753745,1.74784,0.144562,5,100,1,106,10,1200,67907,100,1,0,0
362.347,2.5622,2.17196,5.26001,2.75978,0.726566,1.83564,0.139312,5,100,1,106,10,1200,67907,100,1,0,0
363.822,2.17891,2.17196,5.26001,2.74859,0.633596,1.54531,0.130346,5,100,1,106,10,1200,67907,100,1,0,0
364.935,2.51199,2.17196,5.26001,2.74021,0.356189,2.1558,0.091458,5,100,1,106,10,1200,67907,100,1,0,0
368.78,2.40293,2.17196,5.26001,2.71164,0.337873,2.06506,0.073128,5,100,1,106,10,1200,67907,100,1,0,0
370.573,2.22243,2.17196,5.26001,2.69852,0.342906,1.87953,0.069657,5,100,1,106,10,1200,67907,100,1,0,0
372.54,2.20204,2.17196,5.26001,2.68428,0.335049,1.86699,0.070096,5,100,1,106,10,1200,67907,100,1,0,0
373.72,2.20457,2.17196,5.26001,2.6758,0.330085,1.87449,0.06586,5,100,1,106,10,1200,67907,100,1,0,0
375.843,2.48953,2.17196,5.26001,2.66069,0.326796,2.16273,0.06355,5,100,1,106,10,1200,67907,100,1,0,0
376.993,2.23017,2.17196,5.26001,2.65257,0.746743,1.48343,0.151017,5,100,1,106,10,1200,67907,100,1,0,0
379.087,2.68976,2.17196,5.26001,2.63792,0.730631,1.95913,0.141009,5,100,1,106,10,1200,67907,100,1,0,0
380.325,2.17369,2.17196,5.26001,2.62933,0.717031,1.45666,0.15937,5,100,1,106,10,1200,67907,100,1,0,0
382.424,2.18759,2.17196,5.26001,2.6149,0.352151,1.83544,0.152547,5,100,1,106,10,1200,67907,100,1,0,0
384.365,2.18635,2.17196,5.26001,2.60169,0.341098,1.84525,0.074869,5,100,1,106,10,1200,67907,100,1,0,0
387.105,2.21515,2.17196,5.26001,2.58328,0.337501,1.87765,0.068863,5,100,1,106,10,1200,67907,100,1,0,0
387.811,2.56705,2.17196,5.26001,2.57857,0.349115,2.21793,0.067781,5,100,1,106,10,1200,67907,100,1,0,0
389.673,2.41059,2.17196,5.26001,2.56625,0.350905,2.05969,0.067059,5,100,1,106,10,1200,67907,100,1,0,0
391.774,2.48159,2.17196,5.26001,2.55249,0.349215,2.13238,0.068388,5,100,1,106,10,1200,67907,100,1,0,0
393.462,2.19932,2.17196,5.26001,2.54154,0.354817,1.8445,0.066854,5,100,1,106,10,1200,67907,100,1,0,0
395.593,2.20244,2.17196,5.26001,2.52785,0.351926,1.85052,0.066374,5,100,1,106,10,1200,67907,100,1,0,0
397.391,2.20241,2.17196,5.26001,2.51641,0.36026,1.84215,0.066989,5,100,1,106,10,1200,67907,100,1,0,0
398.72,2.20818,2.17196,5.26001,2.50803,0.354068,1.85411,0.066588,5,100,1,106,10,1200,67907,100,1,0,0
400.958,2.59703,2.17196,5.26001,2.49403,0.356058,2.24097,0.113662,5,100,1,106,10,1200,67907,100,1,0,0
402.794,2.16939,2.16939,5.26001,2.48266,0.373683,1.79571,0.096291,5,100,1,106,10,1200,67907,100,1,0,0
405.311,2.42578,2.16939,5.26001,2.46724,0.369021,2.05676,0.077209,5,100,1,106,10,1200,67907,100,1,0,0
405.532,2.40654,2.16939,5.26001,2.46589,0.37319,2.03335,0.093548,5,100,1,106,10,1200,67907,100,1,0,0
408.967,2.19357,2.16939,5.26001,2.44519,0.365279,1.82829,0.07544,5,100,1,106,10,1200,67907,100,1,0,0
409.782,2.16841,2.16841,5.26001,2.44032,0.336844,1.83157,0.0716,5,100,1,106,10,1200,67907,100,1,0,0
410.446,2.20391,2.16841,5.26001,2.43637,0.349823,1.85409,0.087425,5,100,1,106,10,1200,67907,100,1,0,0
410.38,2.60367,2.16841,5.26001,2.43676,0.339362,2.26431,0.08444,5,100,1,106,10,1200,67907,100,1,0,0
410.688,2.18337,2.16841,5.26001,2.43494,0.365308,1.81806,0.107775,5,100,1,106,10,1200,67907,100,1,0,0
410.51,2.56935,2.16841,5.26001,2.43599,0.374349,2.195,0.070841,5,100,1,106,10,1200,67907,100,1,0,0
410.54,2.18808,2.16841,5.26001,2.43582,0.344828,1.84326,0.067629,5,100,1,106,10,1200,67907,100,1,0,0
410.971,2.1719,2.16841,5.26001,2.43326,0.354789,1.81711,0.070848,5,100,1,106,10,1200,67907,100,1,0,0
412.002,2.2096,2.16841,5.26001,2.42717,0.338822,1.87078,0.068254,5,100,1,106,10,1200,67907,100,1,0,0
412.011,2.20237,2.16841,5.26001,2.42712,0.333726,1.86865,0.06682,5,100,1,106,10,1200,67907,100,1,0,0
412.83,2.19774,2.16841,5.26001,2.4223,0.346764,1.85097,0.077333,5,100,1,106,10,1200,67907,100,1,0,0
412.881,2.64432,2.16841,5.26001,2.422,0.355653,2.28866,0.065764,5,100,1,106,10,1200,67907,100,1,0,0
413.148,2.19215,2.16841,5.26001,2.42044,0.350666,1.84148,0.080671,5,100,1,106,10,1200,67907,100,1,0,0
413.24,2.4071,2.16841,5.26001,2.4199,0.345195,2.06191,0.078261,5,100,1,106,10,1200,67907,100,1,0,0
412.85,2.43363,2.16841,5.26001,2.42219,0.334018,2.09961,0.069033,5,100,1,106,10,1200,67907,100,1,0,0
413.715,2.21909,2.16841,5.26001,2.41713,0.356949,1.86214,0.067003,5,100,1,106,10,1200,67907,100,1,0,0
414.635,2.18086,2.16841,5.26001,2.41176,0.332721,1.84814,0.064068,5,100,1,106,10,1200,67907,100,1,0,0
415.239,2.2045,2.16841,5.26001,2.40825,0.333906,1.8706,0.065174,5,100,1,106,10,1200,67907,100,1,0,0
415.259,2.55468,2.16841,5.26001,2.40813,0.34459,2.21009,0.085573,5,100,1,106,10,1200,67907,100,1,0,0
415.295,2.20044,2.16841,5.26001,2.40793,0.323899,1.87654,0.067351,5,100,1,106,10,1200,67907,100,1,0,0
414.609,2.59497,2.16841,5.26001,2.41191,0.344787,2.25018,0.063128,5,100,1,106,10,1200,67907,100,1,0,0
415.598,2.16559,2.16559,5.26001,2.40617,0.336211,1.82938,0.077903,5,100,1,106,10,1200,67907,100,1,0,0
416.46,2.17213,2.16559,5.26001,2.40119,0.320912,1.85122,0.06313,5,100,1,106,10,1200,67907,100,1,0,0
417.223,2.19626,2.16559,5.26001,2.3968,0.353482,1.84278,0.069764,5,100,1,106,10,1200,67907,100,1,0,0
417.645,2.21111,2.16559,5.26001,2.39438,0.334433,1.87668,0.073972,5,100,1,106,10,1200,67907,100,1,0,0
416.879,2.61412,2.16559,5.26001,2.39878,0.329924,2.2842,0.065891,5,100,1,106,10,1200,67907,100,1,0,0
416.749,2.43733,2.16559,5.26001,2.39953,0.357851,2.07948,0.075779,5,100,1,106,10,1200,67907,100,1,0,0
416.752,2.45475,2.16559,5.26001,2.39951,0.34461,2.11014,0.070992,5,100,1,106,10,1200,67907,100,1,0,0
417.457,2.20018,2.16559,5.26001,2.39545,0.349055,1.85113,0.072472,5,100,1,106,10,1200,67907,100,1,0,0
417.834,2.17192,2.16559,5.26001,2.3933,0.338551,1.83337,0.073728,5,100,1,106,10,1200,67907,100,1,0,0
419.035,2.20321,2.16559,5.26001,2.38644,0.336348,1.86686,0.073561,5,100,1,106,10,1200,67907,100,1,0,0
419.056,2.20193,2.16559,5.26001,2.38631,0.327811,1.87412,0.077523,5,100,1,106,10,1200,67907,100,1,0,0
418.917,2.53437,2.16559,5.26001,2.38711,0.328548,2.20582,0.068159,5,100,1,106,10,1200,67907,100,1,0,0
419.29,2.20369,2.16559,5.26001,2.38499,0.333961,1.86973,0.07678,5,100,1,106,10,1200,67907,100,1,0,0
418.905,2.4105,2.16559,5.26001,2.38718,0.329805,2.08069,0.067221,5,100,1,106,10,1200,67907,100,1,0,0
419.374,2.45485,2.16559,5.26001,2.38451,0.344133,2.11072,0.067938,5,100,1,106,10,1200,67907,100,1,0,0
420.286,2.1779,2.16559,5.26001,2.37933,0.385324,1.79258,0.122646,5,100,1,106,10,1200,67907,100,1,0,0
420.978,2.19679,2.16559,5.26001,2.37542,0.339524,1.85727,0.072506,5,100,1,106,10,1200,67907,100,1,0,0
421.81,2.20859,2.16559,5.26001,2.37074,0.335749,1.87284,0.067474,5,100,1,106,10,1200,67907,100,1,0,0
421.141,2.58624,2.16559,5.26001,2.3745,0.336556,2.24968,0.070847,5,100,1,106,10,1200,67907,100,1,0,0
421.399,2.1961,2.16559,5.26001,2.37305,0.372804,1.82329,0.070241,5,100,1,106,10,1200,67907,100,1,0,0
421.995,2.53195,2.16559,5.26001,2.3697,0.342825,2.18912,0.070777,5,100,1,106,10,1200,67907,100,1,0,0
422.006,2.19828,2.16559,5.26001,2.36963,0.335501,1.86277,0.080194,5,100,1,106,10,1200,67907,100,1,0,0
422.536,2.20177,2.16559,5.26001,2.36666,0.34472,1.85705,0.066123,5,100,1,106,10,1200,67907,100,1,0,0
423.639,2.2034,2.16559,5.26001,2.3605,0.347417,1.85599,0.066823,5,100,1,106,10,1200,67907,100,1,0,0
423.955,2.20289,2.16559,5.26001,2.35874,0.335741,1.86714,0.066411,5,100,1,106,10,1200,67907,100,1,0,0
424.465,2.17134,2.16559,5.26001,2.35591,0.354933,1.81641,0.067508,5,100,1,106,10,1200,67907,100,1,0,0
423.753,2.56819,2.16559,5.26001,2.35987,0.339373,2.22881,0.066294,5,100,1,106,10,1200,67907,100,1,0,0
424.126,2.41089,2.16559,5.26001,2.35779,0.332197,2.07869,0.065003,5,100,1,106,10,1200,67907,100,1,0,0
424.68,2.16407,2.16407,5.26001,2.35472,0.344613,1.81945,0.066604,5,100,1,106,10,1200,67907,100,1,0,0
425.24,2.35872,2.16407,5.26001,2.35161,0.352823,2.0059,0.065803,5,100,1,106,10,1200,67907,100,1,0,0
425.55,2.20793,2.16407,5.26001,2.3499,0.33448,1.87345,0.071876,5,100,1,106,10,1200,67907,100,1,0,0
426.024,2.19838,2.16407,5.26001,2.34729,0.340252,1.85813,0.06631,5,100,1,106,10,1200,67907,100,1,0,0
425.997,2.21124,2.16407,5.26001,2.34743,0.336292,1.87495,0.067264,5,100,1,106,10,1200,67907,100,1,0,0
425.667,2.57379,2.16407,5.26001,2.34925,0.761839,1.81195,0.15839,5,100,1,106,10,1200,67907,100,1,0,0
426.797,2.21028,2.16407,5.26001,2.34303,0.580502,1.62978,0.151579,5,100,1,106,10,1200,67907,100,1,0,0
426.488,2.57379,2.16407,5.26001,2.34473,0.362542,2.21125,0.085393,5,100,1,106,10,1200,67907,100,1,0,0
427.41,2.19184,2.16407,5.26001,2.33967,0.351157,1.84068,0.099487,5,100,1,106,10,1200,67907,100,1,0,0
428.141,2.19948,2.16407,5.26001,2.33568,0.359604,1.83987,0.071968,5,100,1,106,10,1200,67907,100,1,0,0
428.195,2.17188,2.16407,5.26001,2.33538,0.331335,1.84055,0.068288,5,100,1,106,10,1200,67907,100,1,0,0
428.636,2.20346,2.16407,5.26001,2.33298,0.344554,1.8589,0.06668,5,100,1,106,10,1200,67907,100,1,0,0
428.929,2.62047,2.16407,5.26001,2.33139,0.338178,2.2823,0.079257,5,100,1,106,10,1200,67907,100,1,0,0
428.589,2.37594,2.16407,5.26001,2.33324,0.340328,2.03561,0.067957,5,100,1,106,10,1200,67907,100,1,0,0
428.761,2.48245,2.16407,5.26001,2.3323,0.3587,2.12375,0.069802,5,100,1,106,10,1200,67907,100,1,0,0
429.946,2.17969,2.16407,5.26001,2.32587,0.768758,1.41093,0.15417,5,100,1,106,10,1200,67907,100,1,0,0
430.397,2.14906,2.14906,5.26001,2.32344,0.351944,1.79712,0.103758,5,100,1,106,10,1200,67907,100,1,0,0
430.956,2.17723,2.14906,5.26001,2.32042,0.341988,1.83524,0.077609,5,100,1,106,10,1200,67907,100,1,0,0
430.9,2.20308,2.14906,5.26001,2.32072,0.341437,1.86165,0.066951,5,100,1,106,10,1200,67907,100,1,0,0
431.581,2.20386,2.14906,5.26001,2.31706,0.332022,1.87183,0.066967,5,100,1,106,10,1200,67907,100,1,0,0
432.672,2.21029,2.14906,5.26001,2.31122,0.351726,1.85856,0.068646,5,100,1,106,10,1200,67907,100,1,0,0
433.053,2.3358,2.14906,5.26001,2.30919,0.411619,1.92418,0.10926,5,100,1,106,10,1200,67907,100,1,0,0
433.649,2.19087,2.14906,5.26001,2.30601,0.361897,1.82897,0.10579,5,100,1,106,10,1200,67907,100,1,0,0
433.566,2.22464,2.14906,5.26001,2.30646,0.336677,1.88796,0.085548,5,100,1,106,10,1200,67907,100,1,0,0
432.889,2.54878,2.14906,5.26001,2.31006,0.369844,2.17894,0.092147,5,100,1,106,10,1200,67907,100,1,0,0
432.873,2.50995,2.14906,5.26001,2.31015,0.339515,2.17044,0.071048,5,100,1,106,10,1200,67907,100,1,0,0
